consent_id,client_id,collecting_org_id,dsa_id,consent_type,status,legal_basis,purpose_codes,data_categories,sharing_scope_type,sharing_scope_agency_ids,given_date,effective_date,expiry_date,withdrawal_date,superseded_date,consent_source,obtained_by_user_id,witness_user_id,consent_document_ref,notes
CNS-00001,CLI-0001,ORG-0001,2,implied,superseded,foippa_statutory,case_mgmt,"substance_use,financial,medical,demographics",limited_agencies,"ORG-0009,ORG-0001,ORG-0002",2024-12-16,2024-12-16,2025-10-01,,2025-02-17,paper,USR-015,,DOC-12062,
CNS-00002,CLI-0002,ORG-0008,4,explicit,active,indigenous_governance,"coordinated_access,reporting,case_mgmt","mental_health,financial,family,demographics",all_dsa_agencies,,2026-03-29,2026-03-29,2026-11-22,,,digital_form,USR-019,,DOC-43087,
CNS-00003,CLI-0003,ORG-0008,4,explicit,superseded,foippa,"reporting,case_mgmt,research","family,financial,medical,demographics",single_agency_only,,2023-05-01,2023-05-01,2024-09-09,,2025-11-03,digital_form,USR-008,Unknown,DOC-65106,
CNS-00004,CLI-0004,ORG-0009,4,explicit,active,pipa,"case_mgmt,reporting,referrals","financial,demographics,mental_health,medical",all_dsa_agencies,,2024-06-07,2024-06-07,2026-02-18,,,paper,USR-030,,DOC-35990,
CNS-00005,CLI-0005,ORG-0005,3,explicit,withdrawn,pipa,coordinated_access,"financial,mental_health,family",limited_agencies,"ORG-0004,ORG-0001",2025-09-27,2025-09-27,2026-11-17,2026-01-23,2026-01-10,portal,USR-009,,DOC-66244,
CNS-00006,CLI-0006,ORG-0009,3,explicit,active,pipa,coordinated_access,medical,limited_agencies,"ORG-0003,ORG-0005",2024-03-02,2024-03-02,2026-01-24,,,portal,USR-020,,DOC-46366,
CNS-00007,CLI-0007,ORG-0001,3,explicit,active,foippa_statutory,reporting,"demographics,medical,housing_status",limited_agencies,"ORG-0003,ORG-0002,ORG-0008",2025-08-01,2025-08-01,2027-02-24,,,paper,USR-003,USR-025,DOC-34789,
CNS-00008,CLI-0008,ORG-0003,2,inherited,active,pipa,"research,referrals,coordinated_access","housing_status,substance_use,medical,family",limited_agencies,"ORG-0008,ORG-0002,ORG-0003",2023-06-08,2023-06-08,2024-07-02,,,paper,USR-005,,DOC-64490,
CNS-00009,CLI-0008,ORG-0002,3,implied,active,pipa,referrals,"family,substance_use",all_dsa_agencies,,2024-12-02,2024-12-02,2025-10-29,,,paper,USR-020,USR-020,DOC-63927,
CNS-00010,CLI-0008,ORG-0002,3,explicit,superseded,pipa,"coordinated_access,research","family,housing_status",all_dsa_agencies,,2025-06-14,2025-06-14,2027-05-23,,2025-11-05,digital_form,USR-009,,DOC-47695,
CNS-00011,CLI-0009,ORG-0006,4,implied,active,pipa,reporting,"family,substance_use,mental_health,medical",limited_agencies,"ORG-0001,ORG-0009",2023-07-20,2023-07-20,2025-04-14,,,digital_form,USR-006,,DOC-27528,
CNS-00012,CLI-0009,ORG-0007,3,explicit,active,indigenous_governance,"case_mgmt,coordinated_access,reporting","demographics,financial,mental_health,medical",no_sharing,,2023-01-07,2023-01-07,2024-08-27,,,paper,USR-036,USR-013,DOC-13541,
CNS-00013,CLI-0010,ORG-0005,1,inherited,active,indigenous_governance,"referrals,coordinated_access","medical,demographics",all_dsa_agencies,,2024-01-28,2024-01-28,2025-11-30,,,digital_form,USR-036,,DOC-89724,
CNS-00014,CLI-0011,ORG-0003,4,explicit,superseded,foippa,"case_mgmt,reporting","mental_health,housing_status,family,medical",single_agency_only,,2023-02-27,2023-02-27,2024-06-20,,2024-08-14,portal,USR-004,,DOC-40013,
CNS-00015,CLI-0011,ORG-0003,3,implied,superseded,pipa,"research,case_mgmt,coordinated_access","financial,medical,demographics,mental_health",limited_agencies,"ORG-0008,ORG-0007,ORG-0004,ORG-0002",2024-12-08,2024-12-08,2025-11-13,,2025-10-07,verbal_logged,USR-040,USR-022,DOC-55917,
CNS-00016,CLI-0011,ORG-0006,2,inherited,superseded,pipa,"coordinated_access,case_mgmt,research","housing_status,mental_health,financial",limited_agencies,"ORG-0006,ORG-0002,ORG-0008,ORG-0009",2023-01-06,2023-01-06,2023-11-23,,2025-01-10,paper,USR-039,,DOC-44388,
CNS-00017,CLI-0011,ORG-0002,2,opt_out,active,indigenous_governance,"research,referrals,case_mgmt",medical,no_sharing,,2024-12-24,2024-12-24,2026-04-08,,,portal,USR-021,USR-011,DOC-25951,
CNS-00018,CLI-0011,ORG-0007,3,explicit,withdrawn,pipa,"referrals,research","substance_use,housing_status,demographics",single_agency_only,,2024-03-23,2024-03-23,2026-01-17,2025-04-27,,portal,USR-006,,DOC-54830,
CNS-00019,CLI-0012,ORG-0004,2,explicit,superseded,pipa,research,"mental_health,medical,substance_use",all_dsa_agencies,,2024-11-23,2024-11-23,2025-11-18,,2025-11-12,paper,USR-026,USR-015,DOC-64656,
CNS-00020,CLI-0012,ORG-0005,1,explicit,active,pipa_and_foippa,"research,coordinated_access","substance_use,family,housing_status",single_agency_only,,2023-08-16,2023-08-16,2025-08-04,,,verbal_logged,USR-020,,DOC-81366,
CNS-00021,CLI-0013,ORG-0005,2,implied,active,pipa_and_foippa,coordinated_access,"mental_health,substance_use",all_dsa_agencies,,2024-02-06,2024-02-06,2025-06-03,,,paper,USR-006,,DOC-14673,RED_FLAG: implied_consent_sensitive
CNS-00022,CLI-0014,ORG-0002,1,explicit,expired,pipa_and_foippa,reporting,"family,medical,mental_health",single_agency_only,,2024-04-13,2024-04-13,2024-06-09,,,verbal_logged,USR-024,,DOC-95538,
CNS-00023,CLI-0014,ORG-0005,4,explicit,active,foippa_statutory,"case_mgmt,research","medical,housing_status,financial,substance_use",single_agency_only,,2023-01-07,2023-01-07,2024-07-31,,,digital_form,USR-026,USR-001,DOC-40606,
CNS-00024,CLI-0015,ORG-0005,4,explicit,active,pipa_and_foippa,"referrals,case_mgmt","medical,substance_use",all_dsa_agencies,,2024-07-04,2024-07-04,2025-01-17,,,portal,USR-025,,DOC-11021,
CNS-00025,CLI-0016,ORG-0003,2,explicit,active,pipa,"reporting,coordinated_access,case_mgmt","housing_status,mental_health,substance_use,demographics",all_dsa_agencies,,2025-03-23,2025-03-23,2026-03-13,,,paper,USR-029,,DOC-76195,
CNS-00026,CLI-0017,ORG-0005,4,coordinated_access,superseded,pipa,"coordinated_access,referrals","family,medical,housing_status",no_sharing,,2024-11-18,2024-11-18,2025-11-25,,2025-08-20,verbal_logged,USR-009,,DOC-47836,
CNS-00027,CLI-0018,ORG-0009,3,explicit,active,foippa,"referrals,research,case_mgmt",substance_use,limited_agencies,"ORG-0003,ORG-0002,ORG-0007,ORG-0009",2024-02-24,2024-02-24,2026-02-07,,,verbal_logged,USR-024,,DOC-85287,
CNS-00028,CLI-0018,ORG-0001,1,coordinated_access,active,foippa_statutory,"research,reporting","medical,financial,mental_health",limited_agencies,"ORG-0007,ORG-0009,ORG-0006,ORG-0003",2025-02-13,2025-02-13,2026-08-31,,,paper,USR-038,USR-012,DOC-43896,
CNS-00029,CLI-0019,ORG-0007,2,explicit,active,pipa_and_foippa,referrals,"medical,mental_health,substance_use",all_dsa_agencies,,2024-01-21,2024-01-21,2026-03-20,,,digital_form,USR-033,,DOC-96485,
CNS-00030,CLI-0020,ORG-0003,1,coordinated_access,withdrawn,pipa,"reporting,case_mgmt","substance_use,medical,demographics",single_agency_only,,2026-01-22,2026-01-22,2027-01-26,2026-03-28,,paper,USR-023,,DOC-53020,
CNS-00031,CLI-0021,ORG-0004,2,explicit,active,indigenous_governance,case_mgmt,family,all_dsa_agencies,,2023-10-29,2023-10-29,2024-06-24,,2025-05-31,paper,USR-007,USR-028,DOC-20985,
CNS-00032,CLI-0022,ORG-0009,1,inherited,superseded,pipa,reporting,"financial,family,demographics,substance_use",all_dsa_agencies,,2025-03-20,2025-03-20,2027-02-27,,2025-04-26,portal,USR-033,,DOC-69231,
CNS-00033,CLI-0022,ORG-0004,1,explicit,expired,foippa_statutory,,"medical,housing_status,family,substance_use",single_agency_only,,2023-05-23,2023-05-23,2025-11-17,,,digital_form,USR-004,,DOC-57078,RED_FLAG: foippa_statutory_missing_purpose
CNS-00034,CLI-0022,ORG-0002,4,explicit,active,foippa,"case_mgmt,research",financial,single_agency_only,,2024-06-10,2024-06-10,2025-06-03,,,paper,USR-003,USR-040,DOC-25235,
CNS-00035,CLI-0022,ORG-0003,2,explicit,active,foippa_statutory,,"housing_status,family,substance_use",all_dsa_agencies,,2024-05-14,2024-05-14,2026-02-21,,,verbal_logged,USR-015,,DOC-50091,RED_FLAG: foippa_statutory_missing_purpose
CNS-00036,CLI-0023,ORG-0002,2,implied,active,pipa_and_foippa,"case_mgmt,reporting,referrals","housing_status,substance_use",single_agency_only,,2024-04-23,2024-04-23,2025-06-06,,,paper,USR-032,,DOC-62717,
CNS-00037,CLI-0023,ORG-0008,4,inherited,active,foippa,"reporting,case_mgmt","financial,mental_health,substance_use",single_agency_only,,2024-12-12,2024-12-12,2026-03-06,,,digital_form,USR-010,USR-020,DOC-51534,
CNS-00038,CLI-0023,ORG-0001,4,inherited,active,foippa_statutory,"research,case_mgmt","demographics,family",all_dsa_agencies,,2023-08-08,2023-08-08,2025-03-23,,,portal,USR-019,Unknown,DOC-41694,
CNS-00039,CLI-0023,ORG-0002,2,explicit,active,foippa_statutory,,"financial,housing_status,medical",single_agency_only,,2024-04-11,2024-04-11,2024-10-14,,,paper,USR-004,,DOC-62408,RED_FLAG: foippa_statutory_missing_purpose
CNS-00040,CLI-0024,ORG-0007,1,explicit,active,indigenous_governance,"case_mgmt,referrals",mental_health,limited_agencies,"ORG-0005,ORG-0002,ORG-0004",2026-03-26,2026-03-26,2027-09-26,,,digital_form,USR-007,,DOC-40038,
CNS-00041,CLI-0025,ORG-0005,3,explicit,active,foippa,"case_mgmt,referrals","financial,substance_use,family",all_dsa_agencies,,2025-07-30,2025-07-30,2026-03-20,,,portal,USR-023,,DOC-29440,
CNS-00042,CLI-0025,ORG-0003,2,explicit,active,indigenous_governance,"coordinated_access,case_mgmt",mental_health,all_dsa_agencies,,2024-03-28,2024-03-28,2026-01-20,,,digital_form,USR-021,,DOC-16377,
CNS-00043,CLI-0025,ORG-0001,3,explicit,active,foippa,"research,case_mgmt",demographics,all_dsa_agencies,,2024-08-27,2024-08-27,2025-10-06,,,verbal_logged,USR-036,,DOC-68385,
CNS-00044,CLI-0026,ORG-0007,2,coordinated_access,active,foippa_statutory,"case_mgmt,referrals,coordinated_access","financial,family,housing_status",single_agency_only,,2023-12-13,2023-12-13,2025-08-26,,,digital_form,USR-002,999,DOC-16286,
CNS-00045,CLI-0027,ORG-0002,4,explicit,active,indigenous_governance,case_mgmt,"substance_use,family,medical,mental_health",limited_agencies,"ORG-0008,ORG-0009",2023-05-01,2023-05-01,2026-03-20,,,paper,USR-003,,DOC-18950,
