referral_id,client_id,referring_org_id,receiving_org_id,referral_source_module,referral_type,referral_reason,referral_priority,status,status_reason,submitted_at,acknowledged_at,decision_at,started_at,completed_at,cancelled_at,consent_record_id,related_service_encounter_id,referred_by_worker_name
REF-00001,CLI-0659,ORG-0001,ORG-0009,External_Portal,internal,housing_support,crisis,submitted,,2024-12-13 12:07:00,,,,,,CNS-02701,,Ashley Davis
REF-00002,CLI-0432,ORG-0002,ORG-0005,HIFIS_Referral,external,shelter_bed_needed,urgent,submitted,,2025-12-15 08:48:00,,,,,,CNS-04643,,Corey Fox
REF-00003,CLI-0249,ORG-0008,ORG-0003,HIFIS_Intake,coordinated_access,mh_assessment,urgent,declined,consent_not_granted,2025-01-30 17:32:00,2025-01-31 09:23:00,2025-02-02 09:02:00,,,,CNS-01590,,Debra Sanders
REF-00004,CLI-0157,ORG-0008,ORG-0005,HIFIS_Referral,coordinated_access,detox_request,routine,completed,,2023-11-12 17:49:00,2023-11-13 17:39:00,2023-11-14 09:06:00,2023-11-19 09:11:00,2023-12-01 19:38:00,,CNS-00225,ENC-00350,Jared Cunningham
REF-00005,CLI-0331,ORG-0009,ORG-0002,External_Portal,internal,food_security,urgent,declined,other,2024-01-09 19:51:00,2024-01-09 22:53:00,2024-01-10 16:28:00,,,,CNS-00469,,Courtney Sutton DVM
REF-00006,CLI-0367,ORG-0005,ORG-0002,HIFIS_Intake,internal,crisis_support,urgent,completed,,2026-02-10 14:06:00,2026-02-11 12:01:00,2026-02-13 18:12:00,2026-02-16 06:07:00,2026-02-18 16:42:00,,CNS-01219,ENC-00705,Shannon Malone
REF-00007,CLI-0613,ORG-0007,ORG-0006,CA_Module,self_referral,shelter_bed_needed,urgent,completed,,2026-04-17 16:23:00,2026-04-19 08:25:00,2026-04-22 00:52:00,2026-04-23 14:23:00,2026-05-22 07:06:00,,CNS-04251,ENC-00134,James Tran
REF-00008,CLI-0576,ORG-0003,ORG-0002,HIFIS_Referral,coordinated_access,housing_support,urgent,accepted,,2024-01-21 09:26:00,2024-01-22 13:16:00,2024-01-25 11:39:00,2024-01-26 05:43:00,,,CNS-00831,,Adam Jackson
REF-00009,CLI-0637,ORG-0008,ORG-0004,HIFIS_Intake,coordinated_access,detox_request,routine,completed,,2023-09-05 14:45:00,2023-09-06 11:18:00,2023-09-06 13:49:00,2023-09-08 15:32:00,2023-09-22 14:21:00,,CNS-04366,ENC-00485,Mr. Richard Knight PhD
REF-00010,CLI-0753,ORG-0005,ORG-0002,CA_Module,self_referral,mh_assessment,routine,declined,out_of_catchment,2023-05-06 14:11:00,2023-05-07 06:42:00,2023-05-09 18:56:00,,,,CNS-01418,,Joseph Williams
REF-00011,CLI-0558,ORG-0002,ORG-0006,CA_Module,internal,food_security,routine,accepted,,2024-07-08 07:10:00,2024-07-10 06:59:00,2024-07-11 22:08:00,2024-07-14 17:26:00,,,CNS-00804,,Sean Clay
REF-00012,CLI-0450,ORG-0007,ORG-0006,CA_Module,internal,food_security,crisis,cancelled,other,2023-08-30 20:42:00,2023-08-31 01:38:00,,,,2023-09-03 21:58:00,CNS-02179,,Anthony Jones
REF-00013,CLI-0106,ORG-0005,ORG-0009,CA_Module,self_referral,shelter_bed_needed,urgent,accepted,,2025-08-15 16:53:00,2025-08-17 12:49:00,2025-08-18 08:08:00,2025-08-21 18:34:00,,,CNS-04222,,Stephanie Elliott
REF-00014,CLI-0521,ORG-0003,ORG-0008,HIFIS_Intake,internal,detox_request,urgent,completed,,2023-05-25 13:20:00,2023-05-26 16:00:00,2023-05-28 12:37:00,2023-05-31 14:04:00,2023-06-08 21:01:00,,CNS-00752,ENC-00651,Timothy Edwards
REF-00015,CLI-0248,ORG-0008,ORG-0007,HIFIS_Referral,external,housing_support,routine,cancelled,client_withdrew,2024-04-23 19:05:00,2024-04-25 10:24:00,,,,2024-04-28 07:10:00,CNS-00351,,Laurie Goodwin
REF-00016,CLI-0624,ORG-0001,ORG-0005,CA_Module,external,housing_support,routine,completed,,2023-11-01 19:27:00,2023-11-03 17:55:00,2023-11-04 19:10:00,2023-11-10 15:34:00,2023-11-19 05:43:00,,CNS-00905,ENC-00474,Jennifer Jones
